a newes,s. nöwis.,
Granyùng,"(n, unveränd.): Geranie, Storchschnabel (wh 136, 156); ▲Meie. SYN: Stoorcheschnabḷ.","[auch Granyum (Ta1) ◆ schwzdt Granium 'Geranie', aus dem neulat geranium; Auslaut falsch französisiert (vgl. Telefong bei gewissen Sprechern)]"
greede, s. grede.,
Grien,"(n, kein Pl.): Kies (sds 8,190 / wh 68); ↑ Sand, Stii. / ↑ùbergriene.",
Grinn,"(m, Grine): ❶ Kopf (derb / allg. / wh 19, 145); ùm e Grinn um den Kopf (wh 200); a Grinn an den Kopf (wh 170); a ypǜldeta Grawattehengscht, wa nit ggwǜsst het, wy hooi ass er de Grinn wott traage (pb Isi57); SYN: Chopf. ZSS: Chatze~, Mùggi~, Mùni~, Sou~, Stiere~, Stotz~, Trùtz~, Tùbḷ~, Tǜǜpḷ~, Zwing~. ❷ Kartoffel-Steckling (sds 6,205: He); SYN: Bitz. ❸ Ausschlag am Kopf (wh 145); ↑Zyttruussa. • Raa.: a Grinn wyn as Määs gross, unförmig (pb S-1b) • ùf e Grinn gää verprügeln (We1); ↑vùrschameniere. • bim Grinn nää sich schlagen, raufen (wh 135); ↑chäre. • de Grinn mache schmollen (wh 28); ↑muuḷtrùme. • Stùùrnis Äni im Grinn haa betrunken sein (We1); ↑psùffe.","[auch Gring (Gu Wü2 Üb Fr Ta2) ◆ mhd grint 'Kopf' (derb); zur Lautung s. Anhang 3.11 ◆ Id 2,759]"
grodle,"(gg-et): brodeln, zischen (Re1 Si1 Ss1); SYN: mödele1. ZSS: vùr~.","[bald † ◆ lautl. Variante zu brodle ◆ Id 2,706: nur FR]"
grooss,"(grööser/grösser, grööscht): gross (allg.); so git es no im selbe Lann a große Hungersnoth (Stalder 1819: UL); a groeße Hungersnoth [est] em selbe Lann atstande (Stalder: OL); groß Tritsche, Lible ù d'Jeppa (Sense 1863); SYN: gruuss. ANT: chlyy. ↑ leng, staarch, wäḷts. ZSS: moords~. • Ra.: grooss tue wichtigtuerisch reden, angeben: wier chennti no vǜlmee groess tue, aber wier törffe nit wäge de Stüüre (pb S-7); är het nit groess ta, wäge syr Charft (pm 71); ↑grooskotzet.","[auch groos, gross, groes (wh 192), groess (Stalder OL) ◆ Id 2,803]"
Gross·vatter,"(m, -ä-): Grossvater (Dü1 Üb He2 Gi2 Re2 Si Pl1 / sds 4,125: Fr Ta He Gi); ↑Äänisvatter.",
Grüeni,"(f, -e): ❶ Die Grüne, Bauernzeitung: das chämi drvaa, we mù ds Lääbe lang nùme d Frybùrgera lääsi ù di «Grüeni» (ar 15); ↑Zyttùng. ❷ (Grüena, mask.) Einzahlungsschein: im Jenner ùberchämmet Er omi as Mau a «Grüena» (Vaucher 17).",[der grüne Einzahlungsschein wurde mittlerweile von einem roten abgelöst ◆ fehlt in Ma-Wbb]
Grùmmbiira, s. Grùndbira.,
Grupper,"(m, unveränd./-e): Pflug mit fünf Schaufeln an einem Balken (Ta1). ↑Fluegg.",[ev. zu gruppe; Zus'hang unsicher ◆ Einzelbeleg ◆ fehlt in Ma-Wbb]
Grǜǜbe·chueche,"(m, -üe-): Blechkuchen mit Grieben (Si1). ↑Bacheta.",
gruuss,"(grüüsser, grüüssescht): ❶ gross (Dü1 Wü1 Ta1 Gi1 Re1 Si1 Pl Ss2 / wh 62, 119, 143, 173, 191f); as schwarztschäggets Ggùschti mit era gruussi Trihela het zù de Huustǜǜr yha wele (Aeby 21); as wettiggs gruusses Häpperi welch gr. Erdbeere (wh 72); a gruussi Bira (Si1); SYN: grooss. ❷ schwanger (We1 Ss1; passiv auch Üb1 Fr1 He1 Gi1 Pl1); SYN: schwanger.","[Bed.1 veraltend; Bed.2 bald † ◆ 2. frz grosse 'schwanger' ◆ Id 2,803]"
Gryttni, s. Gritti.,
Gschäft,"(n, -er/-eni): Geschäft, a) Verkaufsstelle (wh 43); ↑Putigg. b) Handel (wh 43).",
gschlacht,"(-er, -escht): einfach, a) genügsam, nicht wählerisch von Mensch u. Tier (pb S-7); ↑zfrǜde. b) leicht zu bearbeiten, zB Boden (Id); ↑ring.","[mhd geslaht 'wohlgeartet; fein, gut' ◆ † ◆ Id 9,32: a) Gross-BE; b) BE, FR, GR, TG]"
Gschmack,"(m, -ä-): a) Geruch (Nase) (wh 181); ↑ Ggrùch, Gstùùch. b) Geschmack (Zunge) (wh 181); ↑ Gsee, Gspǜri. / ↑schmecke.",
Gschoos,"(n, -öö-): ❶ Geschoss (Gi1); SYN: Gschǜtz. ❷ Schössling, Pflanzenkeim (wh 101); ↑Ggwächs. ❸ Geschirr, Schüssel zum Auftragen (Ss2); ↑Blatta.","[1. auch Gschöes (wh), Dim. Gschöösli (Ss2) ◆ mhd gescho 'geschossene Waffe; Schusswaffe; Stockwerk' ◆ 2. Einzelbeleg ◆ Id 8,1468]"
gschǜpfet,"(-er, -scht): splitterig, bes. Holz (wh 137). ↑Schǜpfa.","[zu Schǜpfa ◆ Id 8,1065]"
gschwale,"(-et): aufschwellen, aufquellen, zB Holz in Wasser (pb S-1a); ↑gschwùle. • Ra.: z gschwale tue zum Quellen bringen (pb S-1a).","[eigentl. 'anschwellen machen' zu mhd swëllen 'anschwellen' ◆ Id 9,1813]"
Gschyyss,"(n, unveränd.): unnötiges Getue, blöde Sache: was isch daas fùrn as Gschyyss (pk); ↑Mǜscht.","[Id 8,1325/1353: 'unnötiges Getue']"
Gspann,"(n, unveränd.): Pferdegespann (allg.); ↑ Farthändler, Ross, Waage, Zùrhändler.",
gsplaa,"(gsplaage): ❶ a) beschlagen von Pferden (ML1 Re1 Si1 Pl1 Ss1 / wh 176); SYN: pschlaa. ↑schmide. b) beschlagen von Holzrädern (mit Reifen), Holzschuhen (mit Nägeln) (Dü1 Pl1); ❷ übertönen, Meinung sagen: ine jùscht gsplaa (übertr. / Ta1).",[Konsonanten-Umstellung von *ge-be-schlagen ]
Gspùsi,"(n, -eni): Schatz, Gespielin, Braut, auch Bräutigam (Wü1); [ds Staaremännli giit ù chùnnt] ù blǜnzet na sym Gschpùsi (ms 22); SYN: Hochzytteri. vgl. Anhang 1.","[auch Gschpùsi (ms) ◆ zu ital sposa 'Braut'; sposo 'Bräutigam' ◆ Id 10,581]"
Gsteḷ, s. Gstöḷ.,
Gstrüpp,"(n, kein Pl.): Gestrüpp (Wü2 He2). ↑Struuch.",
Gstüüd,"(n, kein Pl.): Stauden: sùsch kört mù nüüt i Gschtrüüch ù Gschtüüd (ms 18); SYN: Studa.",
Gsüün,"(n, unveränd.): Aussehen, Angesicht (Ta1); zwoo oder drüù, tüecht es mù, setti är dùm Gsüün a pchene (ar 79); aso ds Gsüün chùnt mer pchenig voor (Ta1); ▲Lyyb. SYN: Gsee, Uusgsee. ↑ Ggǜggi, Gstaḷt.","[mhd gesiune 'Wahrnehmung; Aussehen' ◆ Id 7,1104]"
guet,"(besser/bösser/baas; bescht/böscht/baascht): ❶ gut, schön, wohl (allg. / wh 90, 143, 192); äs isch ging guet uufgliits gsy (pm 50); jitz isch mer ùmmi baas (pm 52); aus ds böschta (Ta2); ↑chǜschtig. ZSS: as~, chätzersch~, chiibe~. ❷ gesund, in Form (Gi2); guet drùf (Üb2); as giit guet (Üb1); ↑chäch. ❸ leicht, problemlos (sds 6,114: Ss); SYN: ring. ❹ mindestens, etwas mehr als: a gueta Lytter het es ggää (Üb1); asch itz scho guet zwee Maanet asoo (Pl1). • Raa.: as/so guet ass gleich umgänglich, ebenso nett: Zbindes sygi asguet ass menga Frybùrger (fa Religion); ↑lùùb. • z guetùm zum Guten (Pl1 / wh 165, 191) • guet drùf (Üb2); guet uufggliit gut gelaunt, fröhlich (Gi2); ↑gglandrig. • a Gueta guten Appetit (allg.) • jitz isch de guet das Mass voll (wh 132); ↑Höy (gnue aha) • z guet haa a) jmdm. etwas zugute halten; b) Anrecht auf etwas haben: zwee Uuszǜǜg ùs «Schlossersch Ana» hiit er ono z guet (Vaucher 30) • guet wele wohlgesinnt sein: we ds Wätter guets wǜll (pm 86).","[wh 90: ""bösser von 96-jähriger Plaffeierin gehört"", Einzelbeleg ◆ Id 2,535]"
Guetzi,"(n, -eni/-ini): Bonbon (allg.; sds 5,212: Gu Wü Fr We He OL / wh 73); i ha de Chinn de Räschte Wùrscht, Brot ù Chees ggää ù all Schnitz ù Guetseni (Aeby 26); ▲Chröömi. U-BEGRIFFE: Chatzestrecker, Füüfermocke, Füürstii, Gäärschtestängḷ, Trops, Tüüfḷsböri, Wappli, etc. ZSS: Hueschte~.","[auch Guetzli (Fr1; sds: Gu), Guetzeli (Fr2) ◆ aleman Gueteli 'Süssigkeit'; zu guet (Id); vgl. frz bonbon wörtl. 'gut-gut' ◆ Id 2,554]"
Gùmi2,"(n/m, -eni): ❶ (neutr.) Gummi, dehnbares Gewebe (allg.); SYN: Laschtigg. ❷ (mask.) Radiergummi. ↑Schuel.",
Gǜrtsch,"(m, -e): Vogelbeer(baum), Eberesche (wh 99); ▲Bùùm. SYN: Vogḷböri.","[auch Gǜǜrtsch (wh), Götsch (Gi1) ◆ wohl galloroman Herkunft (Jud 1946,362) ◆ Id 2,419: Gǜrtsch (ob-Simm.), Gǜretsch (Saanen, WS), Gǜǜtsch (Gugg.), Gǜrmsch (BE, Entl.); Bosshard 1978,332; BzH 1933,38: Gertsch, Götsch, Gürtsch (alle FR)]"
gùtzle,"(gg-et): stotternd, zögernd reden (Si1). ↑bradle.","[die schwach bezeugte Bed. fehlt im Id 2,583; Anschluss an schwzdt gutzle 'stossweise auswerfen' od. schwzdt gutzle 'anhaltend bitten' denkbar ◆ Einzelbeleg]"
Gùùrt,"(m, -ǜǜ-): Gurt, Halteband (We2 Pl1 / wh 181); ↑Miederbann. ZSS: Feeschgǜǜrta.",[auch Gǜǜrta (Pl1)]
Gydong,"(m, -e): Lenkstange am Fahrrad (Wü1 Ta1). ▲Wölù.",[frz guidon 'Lenkstange am Fahrrad']
Gytt,"(m, kein Pl.): Geiz (wh 105, 185); ↑ Gytznaagḷ, Gytznäpper.",
Haag,"(m, -ää-): Hecke, Umzäunung aus Büschen (sds 8,208: Gu UL Fr ML Gi Pl / wh 70, 181); ↑Waaḷ1. ZSS: Hasḷ~, Läb~, Tuja~, Zesi~.","[mhd hac 'Umzäunung, Dornengesträuch' ◆ Id 2,1073]"
hääḷ,"(-er, -scht): überzogen, stark bewölkt (Ss1 / wh 49). ↑fiischter.","[† ◆ zu mhd hëln 'verbergen', hochdt (ver)hehlen ◆ Id 2,1244: hëlw, hääl (BE-OL); vgl. SI-Wb: ""†""]"
häärdele,"(g-et): ❶ a) nach Erde riechen, schmecken (wh 74); b) herb schmecken vom Wein (Dü1); ▲schmecke. ❷ mit Erde spielen (wh 74); ↑sandele.",
Haarmannli,"(n, -eni): Alpenwindröschen, graue, in den Bergen auf moosigem Boden wachsende Blume (UL1 Ta1 We1 Re1 Pl1 Ss1); ds Haarmannli het synner lila, blaubrünnliche Bächerleni gsùnet (pm 84); ▲Meie.","[auch Haarmane, Pl. (Pl1) ◆ BzH 1933,28]"
Häärz·chlopfe,"(n, kein Pl.): Herzklopfen, zB vor Erwartung, Angst, Erregung (allg.); ▲Gspǜri. b) Benommenheit, Herzkrampf: Härzchlopfe, Schwiißusbrǜǜch, Stǜǜrni ù Schwarzchoe vùr den Ùùge (pb Spät126); ↑Stǜǜrni.",
Häärz·ynfakt,"(m, -e/-ä-): Herzinfarkt (Dü1 Re2). SYN: Schleegli.",[-r- meist stumm]
Häbi,"(n, -eni): Griff, Halt (wh 43, 103). SYN: Häba.",
Hack·mässer,"(n, unveränd.): Hackmesser, Wiegemesser mit zwei Griffen (sds 7,199: Fr). SYN: Gnyppa.",
Hagḷ·stii,"(m, -ne): Hagelkorn: wy de [di] Hagùstiine Bletter ù grasgrüeni Öpfelini ùs de Bǜǜm usa trösche (fa Religion).",
Haḷb·esle,(Pl.): Übername für die Bewohner von Schmitten. vgl. Anhang 1.,
Haḷb·stùnn,"(f, -e): Halbstunde.",
Haḷs,"(m, -ä-): ❶ a) Hals (allg. / wh 181); ds choerbluemeblaue Chräägli ùm e wyyss Hals (pb Isi56); ▲Lyyb. ↑Näcke. b) Kehle: i ha derzue a gueta Raat ùberchoo, ass es mi jedesmal im Hals klämmt ù gworgget het (Aeby 21); SYN: Gùùrgla. ❷ Verengung, oberer Teil, zB an Flaschen, Musikinstrumenten (übertr.); ▲Ynschtrument. • Ra.: ùm e Haḷs nää umarmen: [d'r Att] hät ne ome Hals g'noh o ne g'monzet (Stalder 1819: OL).",
Haḷs·zäpfli,"(n, -eni): Halszäpfchen (allg.). ▲Muuḷ.",
Hamf·studa,"(f, -e): Hanfpflanze (allg.).",
hand·cheerùm,"(Part.): andererseits, hingegen (Ta1); Hann cheerùm gstrodlet ù ggschǜtzeret (pb Isi62); SYN: handùmkeert, hynggäge.","[urspr. 'die kurze Zeit, während der man eine Hand umdreht' (Id) ◆ Id 1,229]"
Händsche, s. Hendsche.,
hänge, s. henge.,
hantiere,"(g-t): hantieren, etwas handhaben (allg.). ↑wärche.",
Häppere·brägḷ,"(m, -le): Rösti: ds Mäi het a Tropf Gaffi ghochet ùn a Räschte Häperebrägù ggässe (pm 55); zùm z Morge Häperebrägù, mengisch feina Ankebrägù (pb Isi51).",
Häppere·hùḷtscha,"(f, -e): ❶ Kartoffelschale (allg.); ❷ Pellkartoffel (übertr. / Fr1 Si); SYN: Gschwöḷti. ↑Häppera (i de Hùḷtscha/Monduur).",[auch Häpperehǜutscha (Fr1)]
Häppere·stǜckli,"(n, -eni): zerkleinerte Salzkartoffeln (Wü2); SYN: Häpperebitzli, Häpperli. ↑Häppera.",
häppi,"(k. Steig.): zufrieden, happy (neu / Üb2 Si2). SYN: gglandrig.",
härggolees,"(Part.): Ausruf des Erstaunens, Erschreckens, Unmuts (Ta2 / wh 154); ↑wooḷmääḷ.",[auch hergulees (wh)]
härrggott,"(Part.): Schimpf- od. Fluchwort, Herrgott! (Gu2 / wh 22). SYN: sackerdyy.",
hase,"(g-et): wegrennen (wh 211); jitz bǜn i hiim ghasnet wyn as Ree (aj Rollimoos163); ▲lùùffe. SYN: abfaare, abseckle, abtechle, abtube, devaachiibe, devaaflädere, devaaschiesse, devaaseckle, devaastùùbe, devaatechle, fätzne, flye. ↑ Blǜnn (nää), devaafùtzere, pächiere, pfyle, Stole (ziige). ZSS: ab~, devaa·hasne, loos·hasne.",[auch hasne (aj)]
Hasḷ·struuch,"(m, -üü-): Haselbusch (allg.); SYN: Mùmeli. ↑Hasḷtschùggḷ.","[Bosshard 1978,210]"
Hebḷ,"(m, -le): Hebel, Griff (wh 139). ↑Grǜff.",
Hefti, s. Höfti.,
heimat·lann,"(Part.): Ausruf des Erstaunens, Erschreckens, der Ungeduld: das het as schöes Gfläder ggää, potz Heimatlann (pb S-4); ↑wooḷmääḷ.",
heḷte, s. höḷte.,
Hendsili, s. Hänseli.,
Herbscht·zytloose,(Pl.): Herbstzeitlose (neu / Üb1). SYN: Hùntshode.,
hert·köörig,"(-er, -scht): schwerhörig, taub (allg1 Üb2 Ta2 We2 Gi2 Si2 Pl2 Ss2 / wh 76); ANT: hiiterköörig. • Ra.: hertköörig wyn a Gglogga (Gu1 Dü1 Wü1 Fr1 ML1 Gi2 Re1 Ss1) / ~wyn a Stock (Üb1 Fr1 We2 Si Ss) / ~wyn a Schyttstock (Üb1 Pl1); [är] het hert köört wyn a Schytstock (pm 74) / ~wyn a Pflock total schwerhörig (Ta2).","[heute meist hörköörig ◆ zu hert i.S.v. 'schwer' (Id 2,1641) ◆ Id 2,1579: hart-g-hörig; Bed. 'taub' nur FR]"
hie,"(Part.): hier (sds 6,98 / wh 69, 164); SYN: daa. • Ra.: hie/hy ù taa hie und da (wh 30); bin era alti Mǜli vùrby isch es mer hie ù ta chalt ùber de Rǜgg wùi (Aeby 23); ↑aḷbeniinisch.","[Id 2,857]"
hiim,"(Part.): heim, nach Hause (wh 165, 236; sds 6,99); derwîle chont sî elter Sohn va dosse heem (Stalder 1819: OL).","[auch heim (sds: Gu) ◆ Id 2,1281]"
Hiimwee·komprässer,"(m, unveränd.): Handorgel (humor. / Gi2). SYN: Haarpfa.",
hiiter·köörig,"(-er, -scht): hellhörig, auch übertr.: Peeti isch hiiterköerega gnue gsy, fùr s z möerke (ar 100); ANT: hertköörig.",[zusammen mit hiiter 'hell' wie hochdt hellhörig ]
Himmböri,"(n, -eni): Himbeere (Wü2 Si2 Ss1). SYN: Hǜnti.",[auch Hymmböri (Wü2 Si2) ◆ neu]
Hindercheer·banda,"(f, -e): Bande von Dieben in den Jahren 1938-40, bes. in der Gegend von St. Antoni, Heitenried tätig (Wü1 Ta1 He1).",
hinderi·freese,(g-et): schnell etwas essen (neu / Dü2 Wü2). SYN: ayschmiize.,
hinder·läcke,(g-et): wiederkäuen (Gi1). SYN: chöuwle.,"[Herkunft unklar; ev. Anklang an schwzdt hinderlegge '(Geld) sparen, zurücklegen' ◆ Einzelbeleg ◆ fehlt in Ma-Wbb]"
hinder·vǜra,(Part.): von hinten hervor: het dr Roschi Fridù hinderrùcks hinner Bieris Hǜtta vǜra Schneebale gschmiizt (pb Spät108); ↑vǜra.,
hiraate,"(g-e/g-et): heiraten (allg. / wh 67, 209); si hii ghiraate (Ss1); är isch ghiraateta (pb Spät123); SYN: meele.","[auch hüraate (Dü1 Wü2 Üb1 He1 We2) ◆ zu mhd hîrâten, hochdt heiraten, mit unerwarteter Entwicklung von mhd î (wh 67)]"
Hobḷ·bank,"(m, -benk/-bänk): Hobelbank (We2); ↑ Bouch, Psǜggesḷ.",
Höcklig,"(m, -e): Sitz, Sitzplatz: grad näbem alta Tüfel ist no aso na Höcklig gsyn (Nydegger 1882); ▲Möbḷ. SYN: Sitz. U-BEGRIFFE: Bank, Bock, Hocker, Ruubett, Stabäla, Stuel, Troon. ↑Sädḷ.","[† ◆ zu hocke 'sitzen' ◆ Id 2,1127: nur FR; vgl. BE-Wb: Hock, Höckli 'Sitzgelegenheit']"
Hofrytigs·räri,"(n, -eni): Karfreitagsrassel (sds 5,66: We).",
Höḷge,"(m, unveränd.): Bild auf Papier, bes. Heiligenbild (He1). ↑Taafeli.","[zu heilig ◆ Id 2,1199: CH (FR fehlt)]"
Höḷse,"(m, unveränd.): ❶ Gewölbe, a) Zimmerdecke (Re1 Ss1; sds 7,165: We / wh 94, 100); SYN: Bǜni, Obenaan, Plafong, Techi, Tili. ↑Wöḷbi. b) Stalldecke (sds 7,221: Ss); SYN: Bǜni, Tili. ❷ Boden des Obergemachs (pb S-4); ❸ waagrechter Tragbalken unter der Zimmerdecke (Gi1); ▲Buu. SYN: Ùnderzùùg. ↑ Byyschtaḷ, Stùùt.","[auch Heḷse (wh), Höùse (Ss1), Hǜuse (Re1) ◆ prakt. † ◆ ev. mit einem s-Suffix zu hehlen 'verbergen'; vgl. hochdt Hülse, urspr. 'Bedeckung'; burgund. Erklärung im Id unhaltbar ◆ Id 2,1214: nur FR, Gugg.]"
Hoḷz·byga,"(f, -e): Holzstapel (Üb2).",
Höḷzli,"(n, -eni): ❶ kl. Holzstück. ❷ Zündholz (wh 71, 94); ZSS: Zǜnd~. ❸ Wäldchen (Dü1 ML1 Ta2).",[auch Houzli (wh)]
Hoḷz·spaḷter,(Pl.): Übername für die Bewohner von Rechthalten. vgl. Anhang 1.,
Honig, s. Hùngg.,
Hoola,"(f, -e): Hohlweg, hohle Gasse: va z oberscht bys s ùnderscht dǜr di schmaali Noeflehoola (pb Verse45). ↑Hööli.",
Hoorner,"(m, -e): Februar (Üb1 He2; sds 6,3: Gu Wü Üb Fr ML Pl / wh 126); ▲Maanet. SYN: Februaar, Hornùng.","[zu Hornùng ◆ Id 2,1627]"
Hörbscht, s. Herbscht.,
Hoschtya,"(f, -e): Hostie (wh 160).",[auch Hoschtija (wh)]
Hosetreeger,"(m, unveränd.): Hosenträger (Dü Si1 Ss1); ▲Hose. ↑Miederbann.",[auch Hoseträäger (Dü)]
Houf,"(m, kein Pl.): Hanf (wh 97). SYN: Hamf.",[mhd hanf 'Hanf'; zur Lautung s. Anhang 3.10]
Höwet,"(m, -e): ❶ Juli (sds 6,6: Ss / wh 124); SYN: Höymaanet. ❷ Heuernte: so isch ds Höiet ù Jemdet fǜǜr ggange (pm 16); ↑Jemdet. ZSS: Läägerlihöyet. • Ra.: dr wältsch Höuwet mache als Nebenverdienst bei der Heuernte im Jura helfen (pb S-7); ↑Wäḷtschehöyet.","[heute meist Höyet ◆ mhd höu-mânet 'Juli', höuwet 'Heuernte'; die Endung beruht ev. auf Vermischung von Maanet und -et, das regelmässig wiederkehrende Bauernarbeiten bezeichnet (s. Sùmmeret ) ◆ Id 2,1821]"
Höyer·züüg, s. Höyerwärchzüüg.,
Höy·stùffḷ,"(m, -le): ❶ Heuschrecke (He1 We1 Gi1 Si1 Pl1 Ss1; sds 6,222: Üb Fr We OL / wh 52, 182); SYN: Höyggǜmper. ↑ Ggryggi, Piita. ❷ Grasstoppel (Dü1).","[auch Höwstùffḷ (sds: We Pl Ss), Höǜstùffù (Ss1; sds: Üb), Höwstoffḷ (sds: Fr Gi), Höystoffḷ (Gi1) ◆ zu ahd stapfol 'Heuschrecke' ◆ 2. Einzelbeleg ◆ Id 10,1411: Stùffḷ (nur FR), sonst Staffel, Straffel ]"
hǜbsche, s. hǜpsche.,
Hùdḷ·rùpf,"(m, -ǜ-): von alten Lumpen hergestellte Fäden (pk 1980,12).","[zu Hùdḷ + rupfen 'rupfen, zausen' ◆ Id 6,1202: 'aus alten Wollfäden hergestelltes geringwertiges Tuch' (BE, SO)]"
Hüener·hutt,"(f, -ü-): Gänsehaut (Si1; sds 4,57: Fr Pl). SYN: Göysehutt.","[import. aus BE ◆ Id 2,1776]"
Hueschte·guetzi,"(n, -eni): Hustenbonbon (Gu SE). ↑Tokterrùschtig.","[auch Hueschteguetzli (Fr1; sds: Gu), Hueschteuetzeli (Fr2) ◆ Id 2,554]"
hulaanere,"(g-et): lärmend, übermütig herumtollen, laut feiern (Gu2 Dü2 Üb1 Fr2 Ta2 Si Pl2); mit de jùnge Flegle va Pùùrschte ghylaaneret (aj Rollimoos86); ↑ rybotte, sawatte1, spöḷke, zylendere. ZSS: ùma~.",[auch hylaanere (aj) ◆ wohl zum Ruf schwzdt holla; ev. Einfluss von frz houleux 'tumultös' ◆ fehlt so im Id; vgl. BE-Wb; SI-Wb]
Hǜmḷs·güegeli,"(n, -eni): ❶ Marienkäfer (Gu Üb He Pl2 Ss1; sds 6,227: Gu We); SYN: Härgottsgüegeli. ❷ Glühwürmchen (sds 6,228: Pl); SYN: Glüechäferli.","[auch Himùsgüegeli (Gu1; sds: Gu) ◆ Id 2,162]"
hùnderg,"(Pron.): Zahl hundert (Gi1 Pl1 Ss1 - alle passiv / wh 30, 155, 195); hùnderg ùn iis hunderteins (wh 195); SYN: hùndert.","[prakt. † ◆ Endung wohl nach anderen Zahlen wie zwenzg oder tuusig (wh 155) ◆ sds 3, 249]"
Hùnds·tùmmer,"(m, -e): zweirädriger Karren, der von einem Hund gezogen wird: wa Poffets Peeti näben ùm Hùndstùmer z dǜruuf zäberlet fùr i d Cheesery (pb Isi43).",
Hùngg,"(m/n, kein Pl.): ❶ Honig (allg.; sds 5,192 / wh 50, 126); aber d's Hung hette mu do chibisch gär (FZ 18.1.1898). ↑ Bieni, Ggomfitüür. ❷ Rahmschicht auf gekochter Milch (sds 5,162: Fr); SYN: Rumm1.","[auch Honig (neu / Fr2) ◆ zu mhd honec 'Honig' ◆ Id 2,1367]"
Hùnzi,"(n, -eni): kl. Hund, Welpe (wh 73). ▲Hùnn.","[auch Hùnzeli (wh), Hǜnzeli (pb S-7)]"
hǜpschli, s. hǜbscheli.,
Hǜrrli,"(n, -eni/-ini): ❶ kl. Holzrohr od. Horn im Wurstdarm, damit man Fleisch besser einfüllen kann (wh 56); ↑Röörli. / ↑metzgge. ❷ kl. Melkfett-Gefäss am Melkstuhl (Dü1 Pl1 / wh 56); ▲Gfääs. ↑Stifass. ❸ Drahtgitter mit Holzrahmen zum Dörren (Üb1); ↑döre.","[auch Hǜrli (wh) ◆ 1. †, 2. bald ◆ zu Hörnli 'Hörnchen', über südl. schwzdt Höreli ◆ Id 2,1617]"
huschte,"(g-et): ❶ a) hasten, schnell arbeiten: [z'Charschtmariani] het ds Jammere gwöhnlich im Springe n' u Huschtere n' awäg g'macht (vs 1917,299); SYN: fisle. b) zu schnell, unsorgfältig arbeiten (Gu1 Üb1); ↑schǜble. ❷ jmdn. antreiben, hetzen: si hets [ds Miitli] nit meh a so ghuschtet u gschüblet u het drfür umhi meh bätet u den Arme guets ta (vs 1913,29); SYN: hüüe. ❸ hantieren, mit Pferden fuhrwerken (We1 / wh 105: ""See""); ↑chare.","[auch huschtere (vs) ◆ Id 2,1765]"
huslich,"(-er, -scht): sparsam (wh 76); va füfùvierzg aan isch er huslecha choe ù het di Nötleni (...) ging hùrtig ùf d Reiffysekassa traage (pb Isi10).","[auch huslig (wh), hüslich (wh), huslecht (pb) ◆ zu Huus, huuse; vgl. CH-hochdt hauslich 'sparsam' (Wahrig) ◆ Id 2,1745: huslich (CH), hüslich (nur Simm., FR-OL)]"
Huswyyb,"(n, -er): Hausfrau (meist derb); daß alz dür d'Seisa ahirollet, was wir Huswiber d'Wocha dür erhuse u-n-erwärhe (Sense 1863).",
hutte,(g-et): häuten: nam Sùnebrann han mi ghuttet as wyn a Schlanga (Fr2). ↑usshüttle. / ↑Hutteta.,"[Id 2,1777 nur: hütte 'Haut wechseln']"
hüüe,"(g-et/ghüüe): ❶ jmdn. antreiben, anspornen (Wü1 ML1 Gi1 Ss1); andersch ischt düre Tag nit vül gredts choe weder g'hüjet u g'hajet (vs 1913, 29); ▲rede. SYN: haje, huschte, hytzgge, rǜble, schǜble, trǜbùliere. ↑ aazǜnte, (ùf d Bii) tue, (hüü) sääge. ❷ sich beeilen, wetteifern (Fr1 Re1); dr Wyybermäärit, dä hets usa ghüüe [?], det het es zablet ù gwalblet (Tschopp 54); SYN: fisle. ↑springe.","[auch hüje (vs), hüe (Ta2 We2) ◆ Id 2,863: nur BE, FR]"
hǜǜpe,"(-et): ❶ schreien, rufen, von Mensch u. Tier (Ss1; sds 8,22: Fr); glyychgǜutig glotzet [de Mùni] di aa ù streckt de Haus ù hùùpet: «Muu!» (ms 69); SYN: brüele. ↑ggygge. ZSS: aa~. ❷ laut, schreiend singen: si hii de o no a wee gsùnge, mengisch mee gjutzget ù ghǜǜpet (pb Isi61); ↑singe.","[auch hùùpe (ms) ◆ lautmalend, wie heepe, hoope, huupe ◆ Id 2,1489: heepe, hoope, huppe, hüüpe 'rufen']"
hǜǜsche,"(ghǜǜsche): heischen, a) fordern, verlangen (allg. / wh 31, 209); ZSS: ar~. b) anhaltend betteln (Fr; sds 5,213: Fr / wh 92, 157); SYN: aaranze.","[auch heische (Gu1), höische (Gu2) ◆ Id 2,1754]"
Huusmatta,"(f, -e): Hauswiese (sds 6,90: SE ohne We Ss). SYN: Bǜfig.","[Id 4,549]"
Hǜutscha, s. Hùḷtscha.,
hynggäge,"(Part.): hingegen, dagegen (wh 43, 171); a syr Frouw nùme Feeler gseet, hynggäge de guet Wǜle (...) niit (pb Spät136); SYN: handcheerùm.",[auch hinggäge (wh)]
ier,"(Pron.): a) ihr (allg. / wh 196); ier gäät era ihr gebt ihr (wh 197); vgl. Anhang 2. b) Sie, Anrede gegenüber Fremden (sds 5,117).","[Id 1,406; sds 3,210]"
Iich,"(f, -e): Eiche (Ta1 We1 / wh 189); ganzi Zylete va Iiche han i gsee (pb Isi8); mit Pänggle va den Iiche (ms 56); ▲Bùùm. ↑Iichla. ZSS: Maarch~.",[auch Iicha (wh)]
